MegaMan 4(tm) Game	MM4	Megaman IV	Megaman IV
MegaMan 5(tm) Game	MEG5	Megaman V	Megaman V
MegaMan(tm) Game	MEGA	Megaman	Megaman
Mendel Palace(tm) Game	MEND	Mendel Palace	Mendel Palace
Metal Gear(tm) Game	GEAR	Metal Gear	Metal Gear
Metal Mech(tm) Game	MECH	Metal Mech - Man & Machine	Metal Mech - Man & Machine
Metal Storm(tm) Game	MET	Metal Storm	Metal Storm
Metroid(tm) Game	MET	Metroid	Metroid
Mickey Mousecapade(tm) Game	MICK	Mickey Mousecapade	Mickey Mousecapade
Micro Machines(tm) The Official Video Game	MICRO	Micro Machines	Micro Machines
Mighty Bomb Jack(tm) Game	JACK	Mighty Bomb Jack	Mighty Bomb Jack
Mighty Final Fight(tm) Game	MFF	Mighty Final Fight	Mighty Final Fight
Millipede(tm) Game	PEDE	Millipede	Millipede
Milon's Secret Castle(tm) Game	MIL	Milon's Secret Castle	Milon's Secret Castle
Mission: Impossible(tm) Game	MISS	Mission - Impossible	Mission - Impossible
Monopoly(tm) Game	MONO	Monopoly	Monopoly
Monster Party(tm) Game	PART	Monster Party	Monster Party
Motor City Patrol(tm) Game	CITY	Motor City Patrol	Motor City Patrol
Ms. Pac-Man(tm) Game	MS	Ms. Pac-Man	Ms. Pac-Man
Mystery Quest(tm) Game	MYST	Mystery Quest	Mystery Quest
NES Play Action Football(tm) Game	PLAY	NES Play Action Football	NES Play Action Football
Narc(tm) Game	NARC	NARC	NARC
Nigel Mansell's World Championship Racing(tm) Game	NIGE	Nigel Mansell's World Championship Challenge	Nigel Mansell's World Championship Challenge
Ninja Crusaders(tm) Game	NINJA	Ninja Crusaders	Ninja Crusaders
Ninja Gaiden II(tm) Game	GAID	Ninja Gaiden II - The Dark Sword of Chaos	Ninja Gaiden II - The Dark Sword of Chaos
Ninja Gaiden III The Ancient Ship of Doom(tm) Game	GAI3	Ninja Gaiden III - The Ancient Ship of Doom	Ninja Gaiden III - The Ancient Ship of Doom
Ninja Gaiden(tm) Game	NINJ	Ninja Gaiden	Ninja Gaiden
Ninja Kid(tm) Game	KID	Ninja Kid	Ninja Kid
North & South(tm) Game	NORTH	North & South	North & South
Operation Wolf(tm) Game	OP	Operation Wolf	Operation Wolf
P.O.W.(tm) Game	POW	P.O.W. - Prisoners of War	P.O.W. - Prisoners of War
Pac Man(tm) Game	PAC	Pac-Man	Pac-Man
Panic Restaurant(tm) Game	PANIC	Panic Restaurant	Panic Restaurant
Paper Boy(tm) Game	BOY	Paperboy	Paperboy
Paperboy 2(tm) Game	PAPER	Paperboy 2	Paperboy 2
Phantom Fighter(tm) Game	PHAN	Phantom Fighter	Phantom Fighter
Pin-Bot(tm) Game	BOT	Pin Bot	Pin Bot
Pinball Game	PIN	Pinball	Pinball
Pipe Dream(tm) Game	PIPE	Pipe Dream	Pipe Dream
Platoon(tm) Game	PLAT	Platoon	Platoon
Popeye(tm) Game	POP	Popeye	Popeye
Power Blade 2(tm) Game	BLADE	Power Blade 2	Power Blade 2
Power Blade(tm) Game	POWB	Power Blade	Power Blade
Predator(tm) Game	PRED	Predator	Predator
Pro Sport Hockey(tm) Game	PRO	Pro Sport Hockey	Pro Sport Hockey
Pro Wrestling(tm) Game	PRO	Pro Wrestling	Pro Wrestling
Pugsley's Scavenger Hunt(tm) Game	PUGS	Addams Family, The - Pugsley's Scavenger Hunt	Addams Family, The - Pugsley's Scavenger Hunt
Puss 'n Boots--Pero's Great Adventure(tm) Game	BOOT	Puss 'n Boots - Pero's Great Adventure	Puss 'n Boots - Pero's Great Adventure
Puzznic(tm) Game	PUZZ	Puzznic	Puzznic
Q*Bert(tm) Game	BERT	Q-bert	Q-bert
Qix(tm) Game	QIX	Qix	Qix
Quattro Adventure(tm) Game	BOOM/LINU//ROB/TREAS	Quattro Adventure	Quattro Adventure
Quattro Arcade(tm) Game	GODIZ/BUGG/F-16/C.J.	Quattro Arcade	Quattro Arcade
R.C. Pro-Am II(tm) Game	PRO 2	R.C. Pro-Am II	R.C. Pro-Am II
RC Pro Am(tm) Game	PRO	R.C. Pro-Am	R.C. Pro-Am
Race America(tm) Game		Race America	Race America
Rad Racer(tm) Game	RAD	Rad Racer	Rad Racer
Raid on Bungeling Bay(tm) Game	RAID	Raid on Bungeling Bay	Raid on Bungeling Bay
Rally Bike(tm) Game	RAL	Rally Bike	Rally Bike
Rambo(tm) Game	BO	Rambo	Rambo
Rampage(tm) Game	RAM	Rampage	Rampage
Renegade(tm) Game	PRO	Renegade	Renegade
Ring King(tm) Game	KING	Ring King	Ring King
River City Ransom(tm) Game	CITY	River City Ransom	River City Ransom
Road Runner(tm) Game	BEEP	Road Runner	Road Runner
Roadblasters(tm) Game	ROAD	RoadBlasters	RoadBlasters
Robin Hood: Prince of Thieves(tm) Game	HOOD	Robin Hood - Prince of Thieves	Robin Hood - Prince of Thieves
RoboCop(tm) Game	COP	RoboCop	RoboCop
RoboWarrior(tm) Game	ROBO	Robo Warrior	Robo Warrior
Robocop 3(tm) Game	ROBO3	RoboCop 3	RoboCop 3
Rocket Ranger(tm) Game	ROCK	Rocket Ranger	Rocket Ranger
Rocketeer(tm) Game	ROCKET	Rocketeer, The	Rocketeer, The
Rockin' Kats(tm) Game		Rockin' Kats	Rockin' Kats
Roger Clemens' MVP Baseball(tm) Game	ROGER	Roger Clemens' MVP Baseball	Roger Clemens' MVP Baseball
Roller Ball(tm) Game	 ROLL	Rollerball	Rollerball
Rollerblade Racer(tm) Game	ROLL	Rollerblade Racer	Rollerblade Racer
Rollergames(tm) Game	GAMES	Rollergames	Rollergames
Rolling Thunder(tm) Game	ROLL	Rolling Thunder	Rolling Thunder
Rush'N'Attack(tm) Game	RUSH	Rush'n Attack	Rush'n Attack
S.C.A.T.(tm) Game	SCAT	S.C.A.T. - Special Cybernetic Attack Team	S.C.A.T. - Special Cybernetic Attack Team
Section Z(tm) Game	Z	Section Z	Section Z
Seicross(tm) Game	SEI	Seicross	Seicross
Shadow of the Ninja(tm) Game	SHAD	Shadow of the Ninja	Shadow of the Ninja
Shatterhand(tm) Game	HAND	Shatterhand	Shatterhand
Shinobi(tm) Game	NOBI	Shinobi	Shinobi
Shooting Range(tm) Game	SHOO	Shooting Range	Shooting Range
Silent Service(tm) Game	SIL	Silent Service	Silent Service
Silkworm(tm) Game	SILK	Silkworm	Silkworm
Silver Surfer(tm) Game	SURF	Silver Surfer	Silver Surfer
Skate or Die 2(tm) Game	DIE	Skate or Die 2 - The Search for Double Trouble	Skate or Die 2 - The Search for Double Trouble
Ski or Die(tm) Game	SKI 	Ski or Die	Ski or Die
Skull & Crossbones(tm) Game	SKULL	Skull & Crossbones	Skull & Crossbones
Sky Kid(tm) Game	SKYK	Sky Kid	Sky Kid
Sky Shark(tm) Game	SKY	Sky Shark	Sky Shark
Slalom(tm) Game	SLALOM	Slalom	Slalom
Smash T.V.(tm) Game		Smash T.V.	Smash T.V.
Snake's Revenge(tm) Game	SNAKE	Snake's Revenge	Snake's Revenge
Snake, Rattle 'N' Roll(tm) Game	RAT	Snake Rattle N Roll	Snake Rattle N Roll
Snow Brothers(tm) Game	SNOW	Snow Brothers	Snow Brothers
