1942(tm) Game	'42	1942
R.C. Pro-Am II(tm) Game	PRO 2	R.C. Pro-Am II
RC Pro Am(tm) Game	PRO	R.C. Pro-Am
Rad Racer(tm) Game	RAD	Rad Racer
Raid on Bungeling Bay(tm) Game	RAID	Raid on Bungeling Bay
Rally Bike(tm) Game	RAL	Rally Bike
Rambo(tm) Game	BO	Rambo
Rampage(tm) Game	RAM	Rampage
Renegade(tm) Game	PRO	Renegade
Ring King(tm) Game	KING	Ring King
River City Ransom(tm) Game	CITY	River City Ransom
Road Runner(tm) Game	BEEP	Road Runner
Roadblasters(tm) Game	ROAD	RoadBlasters
Robin Hood: Prince of Thieves(tm) Game	HOOD	Robin Hood - Prince of Thieves
RoboCop(tm) Game	COP	RoboCop
RoboWarrior(tm) Game	ROBO	Robo Warrior
Robocop 3(tm) Game	ROBO3	RoboCop 3
Rocket Ranger(tm) Game	ROCK	Rocket Ranger
Rocketeer(tm) Game	ROCKET	Rocketeer, The
Roger Clemens' MVP Baseball(tm) Game	ROGER	Roger Clemens' MVP Baseball
Roller Ball(tm) Game	 ROLL	Rollerball
Rollerblade Racer(tm) Game	ROLL	Rollerblade Racer
Rollergames (tm) Game	GAMES	Rollergames
Rolling Thunder(tm) Game	ROLL	Rolling Thunder
Rush'N'Attack(tm) Game	RUSH	Rush'n Attack
S.C.A.T.(tm) Game	SCAT	S.C.A.T. - Special Cybernetic Attack Team
Section Z(tm) Game	Z	Section Z
Seicross (tm) Game	SEI	Seicross
Shadow of the Ninja(tm) Game	SHAD	Shadow of the Ninja
Shatterhand(tm) Game	HAND	Shatterhand
Shinobi(tm) Game	NOBI	Shinobi
Shooting Range(tm) Game	SHOO	Shooting Range
Silent Service(tm) Game	SIL	Silent Service
Silkworm(tm) Game	SILK	Silkworm
Silver Surfer(tm) Game	SURF	Silver Surfer
Skate or Die 2(tm) Game	DIE	Skate or Die 2 - The Search for Double Trouble
Ski or Die(tm) Game	SKI 	Ski or Die
Skull & Crossbones (tm) Game	SKULL	Skull & Crossbones
