1942(tm) Game	1942
Twin Cobra(tm) Game	Twin Cobra
Twin Eagle(tm) Game	Twin Eagle
Ultima Exodus(tm) Game	Ultima - Exodus
Ultima, Quest of the Avatar(tm) Game	Ultima - Quest of the Avatar
Ultima, Warriors of Destiny(tm) Game	Ultima - Warriors of Destiny
Ultimate Stuntman (tm) Game	Ultimate Stuntman
Urban Champion(tm) Game	Urban Champion
Vice: Project Doom(tm) Game	Vice - Project Doom
Vindicators(tm) Game	Vindicators
WWF Wrestlemania Challenge(tm) Game	WWF WrestleMania Challenge
WWF Wrestlemania(tm) Game	WWF Wrestlemania
Wacky Races(tm) Game	Wacky Races
Wayne's World (tm) Game	Wayne's World
Werewolf: The Last Warrior(tm) Game	Werewolf - The Last Warrior
Wheel Of Fortune(tm) Game	Wheel of Fortune
Where's Waldo(tm) Game	Where's Waldo
Who Framed Roger Rabbit(tm) Game	Who Framed Roger Rabbit
Whomp 'Em(tm) Game	Whomp'Em
Wild Gunman(tm) Game	Wild Gunman
Willow(tm) Game	Willow
Wizardry - Proving Grounds of the Mad Overlord(tm) Game	Wizardry - Proving Grounds of the Mad Overlord
Wizards & Warriors III(tm) Game	Wizards & Warriors III - Kuros - Visions of Power
Wizards and Warriors(tm) Game	Wizards & Warriors
Wolverine (tm) Game	Wolverine
World Cup(tm) Game	UNKNOWN
World Wrestling(tm) Game	UNKNOWN
Wrath of the Black Manta(tm) Game	Wrath of the Black Manta
Wrecking Crew(tm) Game	Wrecking Crew
Wurm: Journey to the Center of the Earth(tm) Game	WURM - Journey to the Center of the Earth
X-Men(tm) Game	UNKNOWN
Xenophobe(tm) Game	Xenophobe
Xevious(tm) The Avenger Game	UNKNOWN
Xexyz(tm) Game	Xexyz
Yo! Noid(tm) Game	Yo! Noid
Yoshi(tm) Game	Yoshi
Zanac(tm) Game	Zanac
Zelda II: The Adventures of Link(tm) Game	Zelda II - The Adventure of Link
Zen Intergalactic Ninja(tm) Game	Zen - Intergalactic Ninja
Zoda's Revenge: Star Tropics II(tm) Game	UNKNOWN
