Ultima, Quest of the Avatar Game                                                 27
Ultima, Warriors of Destiny Game                                                 27
Ultimate Stuntman Game                                                           13
Untouchables Game, The                                                           20
Urban Champion Game                                                              6
Vice: Project Doom Game                                                          12
Vindicators Game                                                                 12
Wacky Races Game                                                                 20
Wayne's World Game                                                               17
Werewolf: The Last Warrior Game                                                  5
Wheel Of Fortune Game                                                            4
Where's Waldo Game                                                               2
Who Framed Roger Rabbit Game                                                     8
Whomp 'Em Game                                                                   8
Wild Gunman Game                                                                 9
Willow Game                                                                      6
Wizardry - Proving Grounds of the Mad Overlord Game                              27
Wizards and Warriors Game                                                        7
IronSword--Wizards & Warriors II Game                                            18
Wizards & Warriors III Game                                                      19
Wolverine Game                                                                   20
World Cup Game                                                                   8
World Wrestling Game                                                             2
Wrath of the Black Manta Game                                                    7
Wrecking Crew Game                                                               5
Wurm: Journey to the Center of the Earth Game                                    6
WWF Wrestlemania Challenge Game                                                  4
WWF Wrestlemania Game                                                            3
X-Men Game                                                                       7
Xenophobe Game                                                                   8
Xevious The Avenger Game                                                         4
Xexyz Game                                                                       9
Yo! Noid Game                                                                    15
Yoshi Game                                                                       6
Young Indiana Jones Chronicles Game, The                                         4
Zanac Game                                                                       11
Zelda II: The Adventures of Link Game                                            10
Zen Intergalactic Ninja Game                                                     13
